     State  Energy (Eh)  Excitation energy (eV)
0        0    -7.882402                0.000000
1        1    -7.749216                3.624169
2        2    -7.696952                5.046350
3        3    -7.696952                5.046350
4        4    -7.318495               15.344702
5        5    -7.221864               17.974160
6        6    -7.215230               18.154660
7        7    -7.215230               18.154660
8        8    -7.185954               18.951318
9        9    -7.185954               18.951318
10      10    -7.130820               20.451590
11      11    -7.049538               22.663386
12      12    -7.049538               22.663386
13      13    -7.006473               23.835234
14      14    -6.791751               29.678123
15      15    -5.825943               55.959102
16      16    -5.758388               57.797368
17      17    -5.758388               57.797368
18      20    -5.653427               60.653498
19      22    -5.626973               61.373342
20      23    -5.626973               61.373342
21      24    -5.572073               62.867241
22      25    -5.571827               62.873946
23      26    -5.571827               62.873946
24      27    -5.566162               63.028106
25      28    -5.566162               63.028106
26      29    -5.506304               64.656922
27      31    -5.409932               67.279341
28      34    -5.333572               69.357192
29      35    -5.316655               69.817529
30      36    -5.316655               69.817529
31      38    -5.204313               72.874505
32      39    -5.204313               72.874505
33      40    -5.183351               73.444931
34      41    -5.137778               74.685032
35      42    -5.137778               74.685032
36      45    -5.103777               75.610238
37      46    -5.103777               75.610238
38      47    -5.092112               75.927648
39      48    -5.081820               76.207707
40      49    -5.070910               76.504583
41      50    -5.070910               76.504583
42      52    -5.004776               78.304187
43      53    -4.959720               79.530230
44      54    -4.959720               79.530230
45      55    -4.957163               79.599808
46      56    -4.957163               79.599808
47      57    -4.954173               79.681162
48      58    -4.902128               81.097394
49      59    -4.902128               81.097394
50      60    -4.868452               82.013767
51      61    -4.738482               85.550412
52      62    -4.700672               86.579272
53      63    -4.659080               87.711055
54      64    -4.659080               87.711055
55      65    -2.583491              144.190724
56      66    -2.523124              145.833375
57      67    -2.523124              145.833375
58      68    -2.471722              147.232109
59      69    -2.471722              147.232109
60      71    -2.425648              148.485828
61      72    -2.339238              150.837174
62      73    -2.339238              150.837174
63      74    -2.336159              150.920953
64      75    -2.336159              150.920953
65      76    -2.304622              151.779129
66      77    -2.274351              152.602832
67      78    -2.244829              153.406175
68      79    -2.244829              153.406175
69      82    -2.158931              155.743572
70      83    -2.139354              156.276302
71      84    -2.139354              156.276302
72      86    -2.034982              159.116392
73      87    -2.034982              159.116392
74      88    -2.013620              159.697698
75      89    -1.957354              161.228757
76      90    -1.909868              162.520923
77      91    -1.909868              162.520923
78      92    -1.896517              162.884235
79      93    -1.886374              163.160235
80      94    -1.886374              163.160235
81      96    -1.822663              164.893903
82      97    -1.822663              164.893903
83      98    -1.815242              165.095835
84      99    -1.815242              165.095835
85     100    -1.790986              165.755872
86     101    -1.761060              166.570207
87     102    -1.710528              167.945256
88     103    -1.710528              167.945256
89     104    -1.668707              169.083263
90     105    -1.652275              169.530389
91     106    -1.652275              169.530389
92     107    -1.635074              169.998461
93     108    -1.635074              169.998461
94     109    -1.610333              170.671704
95     110    -1.553164              172.227328
96     111    -1.421027              175.822981
97     112    -1.378749              176.973410
98     113    -1.378749              176.973410
99     114    -1.367885              177.269048
100    115    -1.367885              177.269048
101    116    -1.350330              177.746744
102    117    -1.350330              177.746744
103    118    -1.347232              177.831042
104    119    -1.263038              180.122058
