     State         E         Exc
0        0 -7.882402    0.000000
1        2 -7.749216    3.624169
2        5 -7.696952    5.046350
3        6 -7.696952    5.046350
4        8 -7.318495   15.344702
5       12 -7.221864   17.974160
6       13 -7.215230   18.154660
7       14 -7.215230   18.154660
8       15 -7.185954   18.951318
9       16 -7.185954   18.951318
10      18 -7.130820   20.451590
11      21 -7.049538   22.663386
12      22 -7.049538   22.663386
13      23 -7.006473   23.835234
14      24 -6.791751   29.678123
15      26 -5.825943   55.959102
16      29 -5.758388   57.797368
17      30 -5.758388   57.797368
18      36 -5.653427   60.653498
19      40 -5.626973   61.373342
20      41 -5.626973   61.373342
21      48 -5.572073   62.867241
22      49 -5.571827   62.873946
23      50 -5.571827   62.873946
24      51 -5.566162   63.028106
25      52 -5.566162   63.028106
26      54 -5.506304   64.656922
27      57 -5.409932   67.279341
28      64 -5.333572   69.357192
29      67 -5.316655   69.817529
30      68 -5.316655   69.817529
31      74 -5.204313   72.874505
32      75 -5.204313   72.874505
33      76 -5.183351   73.444931
34      79 -5.137778   74.685032
35      80 -5.137778   74.685032
36      86 -5.103777   75.610238
37      87 -5.103777   75.610238
38      89 -5.092112   75.927648
39      92 -5.081820   76.207707
40      93 -5.070910   76.504583
41      94 -5.070910   76.504583
42      99 -5.004776   78.304187
43     106 -4.959720   79.530230
44     107 -4.959720   79.530230
45     108 -4.957163   79.599808
46     109 -4.957163   79.599808
47     110 -4.954173   79.681162
48     113 -4.902128   81.097394
49     114 -4.902128   81.097394
50     116 -4.868452   82.013767
51     118 -4.738482   85.550412
52     120 -4.700672   86.579272
53     123 -4.659080   87.711055
54     124 -4.659080   87.711055
55     127 -2.583491  144.190724
56     129 -2.523124  145.833375
57     130 -2.523124  145.833375
58     131 -2.471722  147.232109
59     132 -2.471722  147.232109
60     134 -2.425648  148.485828
61     141 -2.339238  150.837174
62     142 -2.339238  150.837174
63     143 -2.336159  150.920953
64     144 -2.336159  150.920953
65     146 -2.304622  151.779129
66     149 -2.274351  152.602832
67     150 -2.244829  153.406175
68     151 -2.244829  153.406175
69     157 -2.158931  155.743572
70     158 -2.139354  156.276302
71     159 -2.139354  156.276302
72     169 -2.034982  159.116392
73     170 -2.034982  159.116392
74     171 -2.013620  159.697698
75     175 -1.957354  161.228757
76     179 -1.909868  162.520923
77     180 -1.909868  162.520923
78     181 -1.896517  162.884235
79     182 -1.886374  163.160235
80     183 -1.886374  163.160235
81     186 -1.822663  164.893903
82     187 -1.822663  164.893903
83     188 -1.815242  165.095835
84     189 -1.815242  165.095835
85     190 -1.790986  165.755872
86     195 -1.761060  166.570207
87     198 -1.710528  167.945256
88     199 -1.710528  167.945256
89     202 -1.668707  169.083263
90     204 -1.652275  169.530389
91     205 -1.652275  169.530389
92     206 -1.635074  169.998461
93     207 -1.635074  169.998461
94     208 -1.610333  170.671704
95     209 -1.553164  172.227328
96     213 -1.421027  175.822981
97     217 -1.378749  176.973410
98     218 -1.378749  176.973410
99     219 -1.367885  177.269048
100    220 -1.367885  177.269048
101    221 -1.350330  177.746744
102    222 -1.350330  177.746744
103    223 -1.347232  177.831042
104    224 -1.263038  180.122058
