     Excitation energy (eV)  Total oscillator strength
1                  6.993959               4.925297e-29
2                  6.993959               6.457222e-29
3                  9.153753               5.042152e-01
4                  9.153753               5.042152e-01
5                 10.585342               1.837448e-01
6                 11.127691               7.653768e-27
7                 11.909619               1.994137e-26
8                 12.945120               1.173176e-01
9                 14.449708               5.495722e-32
10                14.449708               5.350954e-32
11                15.128317               2.246170e-28
12                15.265810               3.323512e-32
13                18.107705               6.536784e-31
14                18.107705               3.360313e-30
15                18.469142               6.355848e-04
16                18.469142               6.355848e-04
17                19.254544               2.009185e-29
18                19.254544               1.197667e-29
19                19.957634               2.693195e-05
20                19.957634               2.693195e-05
21                20.947820               1.325707e-29
22                22.550976               4.215637e-05
23                23.316557               5.587947e-29
24                23.430403               1.016740e-31
25                23.430403               1.753571e-29
26                23.595841               1.594959e-30
27                23.595841               2.420647e-28
28                23.798611               8.297599e-03
29                23.959749               3.997981e-30
30                24.898827               8.519803e-31
31                26.765137               1.798185e-28
32                26.765137               3.023763e-28
33                26.843100               2.440131e-03
34                26.843100               2.440131e-03
35                28.671681               7.491481e-04
36                28.671681               7.491481e-04
37                28.678924               5.375979e-26
38                28.678924               3.245280e-26
39                29.154740               8.999997e-05
40                29.178330               3.622597e-30
41                29.953297               3.474454e-26
42                29.953297               2.865938e-26
43                29.956881               1.313485e-04
44                29.956881               1.313485e-04
45                31.574958               3.148513e-03
46                31.578441               1.162141e-24
47                32.218885               2.653414e-31
48                32.218885               5.949447e-31
49                32.512480               2.082939e-32
50                32.512480               1.292629e-31
51                33.332025               8.053858e-30
52                33.550043               2.722775e-32
53                33.557605               4.673767e-05
54                33.729532               2.620740e-31
55                34.354866               2.039377e-03
56                34.405642               1.246637e-26
57                34.591322               9.964620e-33
58                34.591322               1.112024e-31
59                34.686535               8.377306e-32
60                34.868753               1.232209e-30
61                34.868753               2.395736e-31
62                34.894531               2.613768e-32
63                35.734351               6.120808e-32
64                35.734351               7.582071e-32
65                35.832633               8.815847e-04
66                35.926670               1.262344e-06
67                35.926670               1.262344e-06
68                35.977770               8.707664e-28
69                37.804014               6.963466e-29
70                37.804014               1.755127e-28
71                37.837947               4.311861e-05
72                37.837947               4.311861e-05
73                38.776060               1.858226e-30
74                38.776060               2.460949e-30
75                39.182239               5.514831e-06
76                39.182239               5.514831e-06
77                40.693084               8.010380e-31
78                40.693084               2.707913e-31
79                40.945864               3.812693e-08
80                40.945864               3.812693e-08
81                41.595947               1.819184e-07
82                41.820156               1.946242e-31
83                42.541244               7.064453e-31
84                44.471664               4.286407e-30
85                44.800452               2.544155e-05
86                46.692779               2.602611e-08
87                46.692779               2.602611e-08
88                47.891147               9.450871e-31
89                47.891147               7.587582e-33
90                48.221844               1.120587e-30
91                48.221844               6.565893e-30
92                49.495754               5.394529e-31
93                50.996942               9.740487e-33
94                50.996942               2.874183e-31
95                51.874305               2.422771e-10
96                52.727843               4.761091e-33
97                54.145995               4.354339e-30
98                54.145995               4.740305e-30
99                54.660459               1.399479e-31
100               54.921190               1.833884e-30
101               54.921190               6.124564e-31
102               59.191320               5.754574e-09
103               59.191320               5.754574e-09
104               62.425412               1.529340e-32
