     Excitation energy (eV)  Total oscillator strength
1                  7.250447               5.116135e-30
2                  7.250447               5.286899e-30
3                 10.148165               4.182934e-01
4                 10.148165               4.182934e-01
5                 14.546328               1.409069e-29
6                 15.690075               1.810999e-30
7                 15.690075               1.092247e-30
8                 16.284916               2.877747e-30
9                 17.135422               9.087640e-01
10                19.499735               6.093980e-30
11                21.682702               2.089520e-05
12                21.682702               2.089520e-05
13                23.952159               2.501426e-31
14                23.952159               2.716856e-30
15                25.196883               2.186757e-29
16                25.196883               1.858004e-30
17                25.303942               8.789838e-30
18                25.303942               1.104599e-29
19                25.314634               1.146609e-29
20                25.913804               3.594490e-02
21                26.904891               5.789688e-31
22                28.561913               1.272677e-02
23                28.561913               1.272677e-02
24                28.577031               4.134101e-26
25                28.577031               9.997913e-26
26                29.047171               2.871777e-01
27                30.804981               2.398660e-29
28                32.151630               1.401570e-29
29                32.151630               3.437296e-30
30                32.393014               1.441628e-03
31                32.393014               1.441628e-03
32                33.594433               4.130629e-02
33                33.794496               2.263694e-29
34                33.794496               8.969708e-31
35                33.816143               2.419137e-28
36                35.560470               9.516718e-32
37                35.560470               2.685322e-32
38                35.647685               1.818825e-30
39                35.647685               3.657413e-31
40                36.306925               5.839078e-31
41                36.513225               1.525267e-29
42                36.638966               4.848482e-04
43                36.638966               4.848482e-04
44                37.980894               2.455081e-29
45                38.349140               5.693712e-03
46                39.281202               4.179355e-30
47                39.281202               5.685939e-32
48                40.049368               3.513281e-04
49                40.049368               3.513281e-04
50                43.691369               1.490069e-30
51                44.241271               2.055549e-29
52                44.241271               6.826767e-28
53                44.295220               2.618352e-03
54                44.630862               5.044669e-08
55                44.630862               5.044669e-08
56                45.037585               4.133637e-30
57                46.270724               1.894854e-30
58                46.820215               5.460989e-32
59                47.888671               5.988968e-31
60                47.888671               1.595298e-31
61                49.514165               1.520865e-06
62                49.514165               1.520865e-06
63                49.551116               4.459796e-30
64                49.653306               2.959118e-05
65                50.800688               5.833374e-30
66                50.991954               2.134980e-31
67                50.991954               2.366822e-32
68                51.767452               1.425350e-04
69                52.394900               1.984812e-31
70                52.394900               4.260639e-32
71                53.231909               6.393090e-06
72                53.231909               6.393090e-06
73                53.430202               1.202266e-29
74                54.106628               1.989444e-31
75                54.106628               5.280287e-31
76                55.469135               4.696485e-31
77                55.469135               2.186110e-31
78                56.301606               2.791862e-30
79                57.265624               6.140448e-06
80                57.265624               6.140448e-06
81                58.437662               9.574469e-05
82                59.614637               1.056277e-31
83                59.614637               6.555589e-31
84                60.979387               1.427459e-30
85                62.650597               8.474062e-32
86                65.504033               1.995346e-31
87                65.504033               6.037474e-31
88                65.871801               1.134459e-30
89                65.871801               9.621875e-32
90                66.770427               9.595846e-30
91                66.855860               2.423852e-04
92                67.666071               7.575066e-05
93                68.389097               1.153641e-08
94                68.389097               1.153641e-08
95                68.887735               6.541016e-32
96                68.887735               3.372978e-30
97                72.881283               1.016734e-30
98                74.668305               5.436180e-05
99                74.845274               2.279887e-30
100               74.845274               3.458687e-31
101               77.066503               9.909334e-32
102               79.251265               1.574561e-07
103               79.251265               1.574561e-07
104               83.375898               7.211556e-32
