194
194
Taken from: ./DaltonOutputs/CAS107_h2o_pvdz.out
     Excitation energy (eV)  Total oscillator strength
1                156.030448               5.310650e-03
2                183.000135               1.499521e-01
3                  3.147896               2.124562e-02
4                  3.597539               1.632294e-27
5                  4.967903               9.133686e-02
6                  5.025462               2.516868e-02
7                  7.668743               2.836995e-26
8                  7.973152               1.687332e-03
9                  8.079610               4.300364e-25
10                 9.021924               1.136462e-02
11                 9.220190               2.288213e-01
12                10.050737               6.649405e-03
13                10.733181               1.776589e-03
14                11.170234               1.434317e-01
15                11.268621               7.910778e-04
16                11.317211               4.381918e-26
17                12.947405               2.296889e-28
18                13.151149               1.832307e-26
19                13.182918               2.432478e-03
20                13.469009               7.695942e-05
21                14.279732               9.414125e-02
22                15.028341               2.050020e-02
23                15.080276               2.180339e-04
24                15.943626               8.162180e-05
25                16.020591               1.102893e-01
26                16.372506               1.321903e-23
27                17.163508               1.374462e-01
28                17.393999               4.272634e-02
29                17.849660               1.291028e-03
30                17.939809               4.432811e-03
31                18.516510               3.585481e-02
32                18.599336               4.495283e-03
33                18.622373               1.883979e-25
34                19.147602               4.201786e-27
35                20.086485               8.146230e-03
36                20.460326               3.639711e-27
37                20.668301               2.052846e-07
38                20.994952               2.826679e-05
39                21.686760               8.814663e-04
40                22.196589               7.700726e-26
41                22.562771               6.457149e-03
42                23.119914               4.571828e-04
43                23.659968               5.407687e-04
44                24.128898               1.713811e-03
45                25.037915               1.880538e-29
46                25.562862               8.119981e-04
47                26.173554               6.984906e-04
48                26.330416               9.130701e-27
49                26.662733               1.875109e-03
50                26.772411               7.901336e-27
51                26.957256               2.682016e-03
52                27.917188               9.434041e-26
53                28.367506               1.364930e-04
54                28.488303               6.336028e-04
55                28.756583               4.488273e-05
56                28.846236               9.837910e-05
57                29.106562               1.456865e-04
58                30.727752               1.262820e-26
59                30.815422               2.216934e-09
60                30.962900               4.163128e-04
61                31.456172               1.447011e-28
62                32.633277               4.235587e-28
63                32.760000               1.054278e-03
64                32.973806               3.889988e-04
65                34.097016               3.617526e-06
66                34.377568               4.577538e-06
67                34.600509               1.133469e-06
68                35.035954               4.773870e-07
69                35.399308               1.841268e-27
70                35.478449               9.320126e-06
71                35.718016               1.636692e-04
72                37.540515               1.312156e-27
73                37.712995               5.103011e-04
74                37.830281               2.473614e-04
75                38.746821               1.538772e-04
76                39.502770               6.948031e-04
77                40.499173               1.956110e-05
78                41.634887               7.682450e-30
79                42.337159               1.450750e-28
80                42.887762               3.831986e-06
81                43.346898               2.067559e-08
82                44.178541               7.448735e-26
83                44.560782               3.259231e-04
84                44.989968               7.535163e-05
85                45.305490               5.896721e-05
86                45.913705               5.159545e-08
87                46.900004               4.486809e-05
88                47.923003               3.038614e-06
89                47.967358               8.756997e-29
90                49.208407               9.435589e-06
91                49.269276               1.628746e-29
92                52.268971               1.904602e-06
93                52.685039               2.206531e-05
94                54.036918               4.826775e-29
95                54.713842               6.930658e-08
96                55.408723               1.176132e-06
97                56.899916               1.515220e-29
98                57.886471               8.197056e-07
99                58.240633               3.822975e-07
100               62.032473               5.642343e-07
101               63.036969               1.402013e-08
102               65.203080               5.958756e-30
103               72.714722               4.205813e-07
104              286.365290               2.182947e-02
105              287.916504               9.159826e-28
106              291.472190               3.589696e-03
107              291.950213               2.146634e-02
108              295.521110               2.218010e-04
109              295.752081               9.102987e-29
110              296.877000               4.976409e-03
111              297.616252               2.851586e-04
112              299.287114               8.988473e-29
113              300.369311               1.342492e-03
114              300.929866               4.972239e-27
115              301.563783               6.062678e-05
116              303.304795               4.693704e-29
117              304.407755               5.128968e-04
118              305.109210               5.200535e-27
119              305.555613               2.587627e-06
120              306.936619               5.212887e-05
121              307.433200               2.299994e-04
122              308.932602               2.711162e-06
123              309.601051               3.351686e-06
124              309.645786               1.591203e-27
125              310.383242               1.405873e-04
