19
19
Taken from: ./DaltonOutputs/CAS44_beh2_pvdz.out
    Excitation energy (eV)  Total oscillator strength
1                 8.833960               2.556854e-02
2                 8.970205               2.041314e-27
3                16.388667               1.145625e-27
4                16.714815               5.281687e-01
5                31.239104               6.783950e-31
6               119.715572               2.463246e-02
7               121.646166               4.211778e-30
8               131.079401               1.980646e-02
9               132.562605               2.876357e-31
10              140.024770               3.666580e-30
11              140.268685               7.395964e-05
12              150.553291               1.591987e-31
13              151.019254               1.195895e-05
14              284.790839               3.539042e-32
15              298.922263               1.101575e-31
16              301.615566               2.638203e-06
17              313.599330               2.703707e-32
18              322.685380               1.504031e-08
19              323.079755               4.266492e-32
