19
19
Taken from: ./DaltonOutputs/CAS44_beh2_sto3g.out
    Excitation energy (eV)  Total oscillator strength
1                 8.866753               1.127243e-02
2                 8.931200               4.563121e-28
3                12.535612               3.781579e-29
4                13.835023               3.233606e-01
5                24.050000               2.345691e-30
6               116.241253               3.003365e-02
7               118.324909               2.433737e-30
8               120.370520               1.364278e-01
9               121.951954               5.963894e-30
10              129.356410               3.067808e-31
11              129.571914               3.200609e-04
12              132.347166               8.718613e-31
13              132.516685               3.163817e-04
14              277.256383               7.282993e-33
15              279.963999               5.037222e-32
16              283.269449               4.733344e-32
17              283.397833               8.028377e-06
18              292.378819               1.388263e-07
19              292.909768               5.699563e-33
