104
104
Taken from: ./DaltonOutputs/CAS46_beh2_pvdz.out
     Excitation energy (eV)  Total oscillator strength
1                  9.114326               3.487356e-02
2                  9.193495               3.235753e-28
3                 16.629717               2.948745e-01
4                 16.629717               2.948745e-01
5                 16.731652               1.874583e-25
6                 16.731652               2.999092e-25
7                 20.657806               3.181518e-27
8                 21.311930               4.169409e-02
9                 31.177089               3.681541e-31
10                31.177089               2.221470e-28
11                31.696688               3.740744e-31
12                36.591980               4.342983e-05
13                36.591980               4.342983e-05
14                40.117737               1.251350e-31
15               119.810328               2.387852e-02
16               121.763755               5.269246e-30
17               131.108406               1.990469e-02
18               131.108406               1.990469e-02
19               132.466382               2.941194e-29
20               132.466382               4.652381e-30
21               136.263426               1.393685e-29
22               137.794581               4.981148e-04
23               140.298060               2.115955e-30
24               140.298060               5.993175e-30
25               140.491152               6.834598e-05
26               140.491152               6.834598e-05
27               145.466147               3.412414e-06
28               145.608139               5.140216e-30
29               150.128902               4.111238e-32
30               150.342756               6.282436e-32
31               150.342756               8.226979e-32
32               150.580102               1.492824e-33
33               150.959710               6.164244e-31
34               150.965157               2.199155e-34
35               150.965157               7.214083e-32
36               151.642435               1.069069e-05
37               154.984137               6.636854e-06
38               154.984137               6.636854e-06
39               155.688760               1.188336e-30
40               155.688760               1.094806e-31
41               156.864864               1.775023e-06
42               156.864864               1.775023e-06
43               157.509053               4.855123e-31
44               157.509053               2.779338e-32
45               161.548857               5.360482e-31
46               162.056908               2.889012e-06
47               167.760199               1.419263e-07
48               167.760199               1.419263e-07
49               172.599287               6.676056e-34
50               172.599287               2.576386e-31
51               173.455888               3.246632e-31
52               174.474626               2.583900e-32
53               178.475358               4.616517e-09
54               178.475358               4.616517e-09
55               285.065402               3.401097e-31
56               298.917338               6.414642e-32
57               298.917338               4.551696e-32
58               301.631049               5.267021e-06
59               301.631049               5.267021e-06
60               305.844163               1.173435e-07
61               307.371294               1.848450e-30
62               313.297746               1.867531e-31
63               313.297746               9.346505e-33
64               313.959392               3.105472e-31
65               314.472925               5.086801e-33
66               320.677478               1.514507e-30
67               320.677478               1.708339e-30
68               320.915959               4.521984e-06
69               320.915959               4.521984e-06
70               322.621107               5.753143e-33
71               322.621107               4.094236e-32
72               322.955099               5.972081e-31
73               322.955099               2.399899e-32
74               323.197934               1.618982e-08
75               323.554920               6.240008e-31
76               326.700150               4.168294e-31
77               330.231537               2.315067e-32
78               330.231537               3.822525e-31
79               330.513610               6.947513e-08
80               330.513610               6.947513e-08
81               335.213835               9.693815e-09
82               335.213835               9.693815e-09
83               335.987591               5.166187e-10
84               336.111403               2.011690e-33
85               336.111403               1.951973e-33
86               336.230127               3.679783e-31
87               341.267855               2.080677e-34
88               341.267855               1.849854e-32
89               342.154320               2.340073e-31
90               342.654248               3.105315e-31
91               342.654248               4.715000e-34
92               343.088379               7.182662e-33
93               343.623546               9.352051e-10
94               343.703574               8.513462e-35
95               348.437596               3.669866e-09
96               348.437596               3.669866e-09
97               349.135160               5.938675e-33
98               349.135160               2.553564e-32
99               355.520342               1.383337e-31
100              362.957191               5.642443e-11
101              362.957191               5.642443e-11
102              368.040988               1.677565e-31
103              368.040988               1.307924e-33
104              369.059293               1.500854e-31
