104
104
Taken from: ./DaltonOutputs/CAS46_beh2_sto3g.out
     Excitation energy (eV)  Total oscillator strength
1                  8.159577               1.612796e-28
2                  8.373897               3.694528e-02
3                 12.828288               2.365485e-29
4                 12.828288               3.098564e-27
5                 13.362452               2.405823e-01
6                 13.362452               2.405823e-01
7                 20.288286               2.308220e-28
8                 22.021871               3.224123e-01
9                 23.566991               1.416761e-29
10                23.566991               4.158435e-29
11                25.975161               5.665248e-32
12                29.261872               1.977406e-03
13                29.261872               1.977406e-03
14                34.347590               1.262196e-29
15               114.654592               2.557356e-02
16               117.675498               5.367814e-31
17               120.434546               1.318216e-01
18               120.434546               1.318216e-01
19               121.866483               1.707617e-28
20               121.866483               1.526837e-28
21               127.669323               5.691534e-27
22               127.669323               9.073444e-28
23               127.772027               1.747119e-03
24               127.772027               1.747119e-03
25               128.801537               2.394241e-30
26               130.791450               2.107792e-03
27               131.843211               2.214214e-29
28               131.843211               9.192324e-31
29               131.867449               9.813403e-31
30               131.918200               1.457205e-30
31               131.918200               5.637301e-30
32               132.647240               1.548569e-30
33               133.096748               5.006765e-31
34               135.905326               1.878446e-03
35               137.080579               7.740431e-31
36               137.475598               7.978225e-04
37               139.106859               1.156165e-28
38               139.106859               4.296539e-29
39               139.161837               2.028421e-05
40               139.161837               2.028421e-05
41               139.963055               3.147874e-04
42               139.963055               3.147874e-04
43               143.165992               1.713847e-04
44               143.165992               1.713847e-04
45               143.503400               9.202352e-30
46               143.503400               3.239494e-30
47               146.329385               7.586542e-31
48               146.329385               3.541267e-31
49               147.764386               1.916207e-31
50               147.770697               4.090718e-31
51               150.573000               2.199823e-30
52               150.689628               1.857371e-04
53               154.974273               2.641664e-05
54               154.974273               2.641664e-05
55               274.278749               1.925879e-30
56               277.031862               3.477250e-30
57               277.031862               8.806806e-33
58               282.596049               1.493442e-30
59               282.596049               8.391068e-31
60               282.758202               9.744479e-06
61               282.758202               9.744479e-06
62               283.586190               2.050616e-31
63               285.201867               2.147702e-33
64               288.982728               6.443034e-31
65               288.982728               9.546862e-33
66               289.826962               2.034917e-30
67               289.826962               1.877116e-31
68               290.009931               8.699025e-07
69               290.060027               4.128404e-31
70               292.079793               3.522331e-06
71               292.079793               3.522331e-06
72               293.010178               1.091691e-31
73               293.010178               1.830510e-31
74               294.334231               9.101869e-06
75               295.052040               4.497796e-06
76               295.052040               4.497796e-06
77               295.227826               3.064191e-31
78               297.600986               1.897645e-31
79               297.600986               8.627540e-31
80               300.524770               8.355132e-32
81               301.043827               1.923752e-06
82               301.043827               1.923752e-06
83               302.251115               1.493400e-32
84               302.641490               8.356525e-33
85               302.641490               3.216229e-32
86               302.679178               2.599838e-31
87               302.679178               1.413096e-32
88               302.893114               1.247430e-32
89               305.059577               1.539866e-31
90               307.484521               6.339841e-31
91               307.484521               4.673656e-33
92               308.587099               3.179294e-07
93               309.047135               1.486734e-30
94               309.103490               3.670789e-09
95               309.103490               3.670789e-09
96               315.552592               4.849705e-07
97               316.310320               9.531408e-31
98               316.673048               5.473946e-07
99               316.673048               5.473946e-07
100              317.011885               2.859994e-30
101              317.011885               6.494813e-32
102              318.975187               2.138513e-31
103              318.975187               2.123564e-32
104              321.586502               1.102748e-31
