104
104
Taken from: ./DaltonOutputs/CAS46_lih_sto3g.out
     Excitation energy (eV)  Total oscillator strength
1                  3.624171               4.790792e-02
2                  5.046352               2.493024e-01
3                  5.046352               2.493024e-01
4                 15.344710               7.644814e-02
5                 17.974169               2.095671e-01
6                 18.154669               5.523909e-28
7                 18.154669               5.629385e-30
8                 18.951327               7.265026e-03
9                 18.951327               7.265026e-03
10                20.451600               2.841067e-03
11                22.663398               3.392450e-03
12                22.663398               3.392450e-03
13                23.835245               1.185058e-03
14                29.678138               6.019058e-03
15                55.959131               6.181522e-02
16                57.797397               1.278397e-01
17                57.797397               1.278397e-01
18                60.653528               4.338428e-03
19                61.373373               1.083530e-03
20                61.373373               1.083530e-03
21                62.867273               4.606939e-27
22                62.873978               9.526485e-04
23                62.873978               9.526485e-04
24                63.028139               1.029674e-28
25                63.028139               3.873224e-29
26                64.656956               3.364540e-03
27                67.279376               2.232421e-02
28                69.357227               1.713099e-02
29                69.817565               8.688660e-06
30                69.817565               8.688660e-06
31                72.874543               6.297474e-05
32                72.874543               6.297474e-05
33                73.444967               1.318373e-04
34                74.685070               2.786528e-31
35                74.685070               3.592619e-31
36                75.610276               9.884918e-05
37                75.610276               9.884918e-05
38                75.927686               5.418657e-06
39                76.207746               5.619576e-31
40                76.504623               1.744038e-05
41                76.504623               1.744038e-05
42                78.304227               1.084736e-04
43                79.530269               3.688165e-08
44                79.530269               3.688165e-08
45                79.599849               7.656902e-31
46                79.599849               1.111921e-31
47                79.681202               7.445947e-31
48                81.097436               1.237334e-07
49                81.097436               1.237334e-07
50                82.013810               2.124948e-06
51                85.550454               1.372204e-03
52                86.579314               2.341339e-05
53                87.711099               1.041034e-06
54                87.711099               1.041034e-06
55               144.190798               5.398645e-06
56               145.833449               6.482570e-06
57               145.833449               6.482570e-06
58               147.232183               1.241592e-33
59               147.232183               3.331864e-31
60               148.485902               9.959538e-07
61               150.837250               1.725801e-08
62               150.837250               1.725801e-08
63               150.921029               1.978998e-30
64               150.921029               8.302815e-33
65               151.779205               9.592085e-07
66               152.602911               2.935027e-32
67               153.406251               1.183567e-07
68               153.406251               1.183567e-07
69               155.743651               1.683293e-07
70               156.276382               7.626106e-06
71               156.276382               7.626106e-06
72               159.116471               8.857825e-06
73               159.116471               8.857825e-06
74               159.697780               1.457491e-32
75               161.228838               5.961699e-08
76               162.521006               3.798438e-33
77               162.521006               4.933086e-32
78               162.884317               8.587921e-08
79               163.160316               4.633068e-07
80               163.160316               4.633068e-07
81               164.893985               2.791560e-35
82               164.893985               5.600187e-32
83               165.095918               6.182509e-08
84               165.095918               6.182509e-08
85               165.755955               1.344330e-08
86               166.570291               1.550868e-08
87               167.945340               1.736814e-07
88               167.945340               1.736814e-07
89               169.083348               3.658924e-32
90               169.530475               2.380210e-34
91               169.530475               6.359501e-31
92               169.998547               1.501098e-09
93               169.998547               1.501098e-09
94               170.671789               1.349426e-08
95               172.227413               1.339294e-07
96               175.823071               8.797116e-09
97               176.973498               1.751220e-06
98               176.973498               1.751220e-06
99               177.269136               1.628444e-07
100              177.269136               1.628444e-07
101              177.746835               5.893449e-31
102              177.746835               4.204649e-33
103              177.831130               6.441832e-09
104              180.122148               1.562637e-08
