49
49
Taken from: ./DaltonOutputs/CAS65_h2o_pvdz.out
    Excitation energy (eV)  Total oscillator strength
1                 4.511800               3.110990e-03
2                 8.907935               2.658393e-28
3                12.106256               2.648321e-03
4                15.131026               4.512600e-01
5                15.222625               1.817175e-03
6                19.582737               5.666975e-01
7                20.014846               1.710541e-03
8                23.159817               4.808239e-29
9                26.132679               1.121542e-02
10               28.986391               5.217407e-28
11               32.719235               1.007778e-02
12               33.698181               1.052164e-02
13               34.511149               7.980239e-04
14               35.380711               9.363706e-03
15               36.558992               5.160889e-05
16               39.961467               1.664341e-05
17               42.726538               8.185457e-30
18               45.016284               3.767849e-05
19               56.615435               5.526379e-06
20              301.187667               6.467297e-02
21              306.044575               2.195696e-04
22              307.314640               4.762220e-02
23              310.977376               5.898823e-30
24              311.367206               3.345757e-31
25              317.441090               1.412224e-06
26              317.565746               1.242596e-05
27              318.067497               9.123110e-05
28              322.585541               5.483788e-06
29              323.147212               8.884356e-07
30              323.879716               2.464708e-04
31              327.316162               2.804587e-32
32              329.432773               5.084562e-06
33              332.627337               1.928939e-07
34              332.919778               9.110310e-33
35              338.329268               1.456455e-07
36              340.699708               1.197479e-06
37              341.875812               5.826222e-09
38              345.901466               4.837672e-07
39              352.226511               1.485057e-08
40              672.832233               2.782952e-06
41              680.144018               4.021893e-06
42              683.861449               1.074690e-30
43              688.684697               2.195941e-08
44              691.658875               4.448699e-10
45              697.057536               4.274519e-10
46              698.081664               1.180420e-08
47              706.252812               4.708456e-08
48              713.720191               2.188723e-10
49              723.011143               5.932730e-10
