49
49
Taken from: ./DaltonOutputs/CAS65_h2o_sto3g.out
    Excitation energy (eV)  Total oscillator strength
1                 2.963001               6.105805e-03
2                 4.249325               2.764197e-28
3                 9.547687               4.980948e-03
4                10.361607               6.739105e-04
5                12.737240               1.757235e-02
6                13.743719               3.638414e-01
7                15.511140               3.592899e-01
8                17.602260               1.811150e-31
9                22.818137               1.676732e-03
10               23.557626               1.082550e-30
11               26.032953               3.053173e-02
12               27.818663               7.174802e-04
13               29.046793               1.310172e-02
14               29.362630               1.256256e-02
15               30.291796               5.558472e-03
16               32.561820               3.624615e-03
17               36.062817               5.823566e-05
18               37.078349               4.159572e-30
19               48.953760               3.489082e-05
20              295.558526               8.297400e-02
21              296.094454               1.208488e-01
22              296.881408               4.755973e-29
23              296.985328               8.211950e-05
24              297.427949               6.265985e-29
25              298.993149               4.522074e-04
26              301.717473               7.033973e-05
27              301.956824               3.091881e-04
28              308.533330               1.728486e-04
29              308.832573               4.716634e-05
30              310.651356               1.322948e-03
31              311.033459               9.010426e-05
32              311.125569               3.442540e-06
33              311.537795               5.372156e-29
34              316.226346               7.232611e-07
35              316.887420               9.423813e-32
36              319.039950               7.633092e-07
37              323.837892               1.341837e-05
38              324.585253               3.058867e-07
39              328.846177               6.144665e-09
40              657.702912               2.167636e-09
41              657.920359               2.329710e-07
42              657.950509               5.755963e-32
43              658.402871               3.854686e-08
44              659.353719               3.155260e-07
45              660.373303               8.734354e-08
46              673.212757               9.727387e-08
47              673.615105               4.307884e-09
48              676.001109               9.194908e-10
49              685.665891               9.877279e-12
