104
104
Taken from: ./DaltonOutputs/CAS86_h2o_sto3g.out
     Excitation energy (eV)  Total oscillator strength
1                164.868983               3.109179e-03
2                  4.988894               1.011361e-02
3                  8.939413               2.430316e-29
4                 10.662035               3.497648e-03
5                 18.557719               8.174938e-02
6                 20.365394               4.245208e-01
7                 21.477737               1.752120e-04
8                 22.221308               3.264790e-09
9                 23.515023               1.275213e-02
10                26.156753               1.678623e-28
11                27.513917               9.600756e-01
12                29.952334               3.804664e-28
13                33.393770               7.845480e-04
14                35.055470               1.803811e-02
15                35.669076               2.949822e-03
16                35.881820               6.115764e-02
17                36.401327               1.213739e-02
18                38.416366               1.294703e-04
19                38.764218               4.451353e-04
20                41.008799               1.078820e-03
21                42.006295               6.172629e-03
22                45.289892               4.073178e-04
23                45.397456               1.409329e-29
24                47.032788               8.727083e-05
25                49.043207               8.625788e-30
26                49.228546               8.187038e-04
27                50.410123               9.579352e-07
28                50.532775               2.158450e-29
29                52.643305               9.139316e-03
30                54.783542               2.733557e-04
31                54.882063               2.594652e-03
32                55.642660               1.788701e-05
33                58.960910               4.206753e-04
34                59.549362               1.299862e-04
35                60.736201               1.611630e-07
36                62.576802               2.113980e-05
37                64.004995               8.482847e-04
38                64.162263               1.906258e-29
39                67.309991               5.389753e-04
40                67.821576               7.534065e-31
41                71.371867               6.057283e-06
42                71.581683               1.317913e-08
43                71.720959               6.961292e-05
44                73.343311               1.671132e-07
45                73.948716               5.162800e-05
46                77.715824               1.269695e-06
47                78.177715               9.106723e-31
48                80.302727               4.002664e-07
49                89.116581               4.598100e-08
50               282.949960               1.165287e-01
51               284.316789               6.454140e-03
52               289.817846               1.454692e-05
53               300.238179               1.458579e-02
54               303.793621               9.767183e-04
55               304.167723               3.466118e-02
56               304.587921               4.869171e-07
57               306.137066               1.310694e-28
58               307.214910               4.392515e-06
59               307.608768               7.148070e-07
60               309.854008               2.645866e-30
61               311.609551               8.217112e-09
62               315.120937               2.230015e-05
63               318.446579               9.091334e-04
64               319.581757               1.908386e-04
65               321.291422               6.334330e-04
66               322.099519               2.434478e-04
67               324.539701               1.473145e-05
68               328.783700               2.197169e-06
69               329.215817               4.467105e-04
70               329.720942               5.108938e-05
71               329.933490               1.570648e-28
72               330.450752               6.369298e-05
73               330.525120               2.021130e-29
74               332.872974               2.065960e-08
75               333.841183               2.796494e-05
76               335.646115               2.656594e-06
77               336.324550               4.822373e-05
78               341.794286               4.516544e-04
79               342.689106               6.396280e-08
80               343.633287               4.985357e-30
81               345.696728               5.390018e-08
82               345.814961               1.224610e-07
83               345.823125               7.375188e-06
84               347.471564               1.856574e-30
85               349.026532               9.622309e-08
86               350.420001               7.228218e-08
87               355.449593               1.280885e-05
88               357.139421               1.850541e-06
89               359.343680               3.947459e-09
90               630.307400               7.226356e-09
91               651.614525               7.077552e-07
92               652.999041               4.014116e-08
93               657.131718               8.220094e-10
94               667.185378               1.329936e-09
95               677.442035               9.235138e-31
96               679.317934               9.223121e-07
97               679.385609               5.385333e-12
98               680.304429               5.089663e-08
99               680.411941               7.381198e-08
100              682.594840               7.713340e-09
101              695.486240               1.177972e-10
102              696.036754               3.460380e-08
103              697.471067               2.099172e-08
104              708.054996               1.914811e-09
