     Excitation energy (eV)  Total oscillator strength
1                  8.760051               2.361626e-02
2                 10.875357               3.280363e-28
3                 11.176803               9.823670e-02
4                 13.113979               1.312384e-01
5                 14.874181               3.177909e-01
6                 18.493099               1.317140e-01
7                 25.259011               1.280013e-03
8                 26.375036               6.144700e-27
9                 26.468907               6.340797e-04
10                28.740528               4.694399e-04
11                29.031024               5.988002e-29
12                30.115373               1.442811e-03
13                31.063544               1.105029e-03
14                31.106483               3.387911e-04
15                31.966287               2.323023e-03
16                32.126614               4.918221e-03
17                32.299709               9.652909e-28
18                32.774074               5.797810e-05
19                33.458971               1.360289e-03
20                33.653857               4.469709e-03
21                34.615162               3.894420e-04
22                34.799721               1.717010e-05
23                35.135586               1.336991e-03
24                35.585017               1.062349e-03
25                36.407400               4.458369e-29
26                37.613390               1.716544e-03
27                38.455915               2.293137e-04
28                40.765695               1.590365e-05
29                42.266507               5.379797e-05
30                45.736331               8.328762e-31
31                47.595977               1.906895e-09
32                50.892671               1.219012e-03
33                51.172518               5.618598e-06
34                52.441048               1.090089e-07
35                52.874055               2.843330e-04
36                53.334828               3.876396e-31
37                54.629843               6.772736e-06
38                54.839118               4.670952e-05
39                55.596760               2.474102e-05
40                56.416337               2.738536e-04
41                56.460417               7.950379e-08
42                56.843923               6.197378e-30
43                57.253820               1.200110e-05
44                57.749396               7.636862e-30
45                57.937773               5.455195e-05
46                58.065435               1.428134e-06
47                58.456449               3.999344e-04
48                58.674013               2.824042e-05
49                58.718549               2.233585e-29
50                59.294639               2.166040e-30
51                59.637217               2.628102e-06
52                59.919239               2.185366e-04
53                61.034318               3.909939e-06
54                61.709945               5.018069e-05
55                62.130192               2.046603e-04
56                63.226586               8.479923e-06
57                63.658632               8.087716e-05
58                71.921831               1.261159e-05
59                73.062204               5.209648e-06
60                73.706727               2.853752e-32
61                75.528087               2.478202e-05
62                75.882809               8.490249e-06
63                76.702493               8.358324e-07
64                77.251513               1.748744e-07
65                77.567756               3.843026e-07
66                78.341746               1.973791e-04
67                78.960947               6.738718e-31
68                79.563369               2.934421e-31
69                79.741851               1.806180e-06
70                80.049220               1.680912e-05
71                80.557951               3.002520e-06
72                81.717385               2.827025e-05
73                81.997788               1.832030e-05
74                83.017217               1.104209e-05
75                83.367539               2.027808e-06
76                85.072216               1.140663e-05
77                85.278011               1.121543e-30
78                86.487764               1.346655e-05
79                89.189143               6.922968e-10
80                90.611891               1.743243e-08
81                90.816496               2.148429e-32
82                92.394352               1.138093e-07
83                92.774139               6.812070e-08
84                94.771159               2.145214e-08
85                96.694872               9.814720e-32
86                97.910193               6.524990e-08
87               100.205175               1.318031e-06
88               100.240876               1.932411e-07
