     Excitation energy (eV)  Total oscillator strength
1                 11.639354               3.287093e-03
2                 14.318975               5.950745e-28
3                 15.315780               6.278374e-02
4                 18.266085               6.629840e-02
5                 22.003352               1.062523e+00
6                 26.050472               5.279106e-02
7                 28.065340               1.496501e-04
8                 28.554732               4.067492e-01
9                 28.929419               1.010601e-27
10                30.801735               5.133736e-05
11                33.059021               3.534262e-29
12                34.105607               2.121552e-02
13                35.624950               2.943015e-03
14                35.755638               2.304350e-02
15                36.563452               3.790514e-28
16                36.723458               5.101712e-05
17                37.865572               5.110076e-02
18                38.246640               5.174907e-05
19                38.560513               1.833509e-02
20                39.590152               1.054197e-03
21                40.961519               7.376555e-04
22                41.014364               1.671717e-03
23                41.103813               1.439987e-04
24                41.429041               7.365232e-29
25                42.297449               2.742569e-04
26                45.846855               1.365078e-03
27                46.520196               2.104809e-04
28                48.003065               3.484019e-04
29                49.782247               6.849308e-05
30                49.850890               5.796083e-28
31                50.712400               1.429717e-03
32                51.650889               2.457106e-28
33                51.748401               3.228396e-04
34                53.061841               9.648334e-05
35                54.014675               4.538111e-06
36                55.142073               5.428600e-04
37                55.385632               1.602342e-04
38                55.416503               1.647387e-04
39                56.897084               1.079863e-30
40                57.675877               7.948116e-06
41                57.778328               3.484841e-30
42                57.803457               7.896157e-06
43                58.367922               1.172863e-04
44                59.346531               2.429713e-30
45                59.768763               1.029728e-04
46                60.061938               2.009336e-05
47                60.879094               1.286971e-07
48                62.297719               2.666858e-04
49                62.784934               3.694198e-07
50                63.180800               1.308420e-30
51                63.418062               1.106556e-04
52                64.135566               1.906804e-03
53                65.068558               5.024795e-05
54                65.859341               2.690877e-04
55                67.840105               8.110195e-05
56                69.217627               1.026123e-04
57                69.635145               4.328470e-04
58                71.178649               1.034173e-04
59                72.957619               2.010493e-04
60                73.008426               2.749893e-28
61                73.655156               2.005582e-07
62                74.838452               2.514277e-05
63                75.998594               2.084963e-05
64                76.500680               2.787346e-07
65                76.516402               1.430352e-05
66                76.786568               7.470912e-31
67                78.707189               9.156325e-05
68                79.485710               3.727756e-30
69                79.509275               1.844437e-06
70                79.672146               1.940233e-06
71                80.790951               3.079686e-08
72                81.051345               6.319793e-05
73                81.132800               1.122735e-28
74                81.394157               1.499434e-06
75                82.198711               1.770534e-05
76                82.645269               2.911271e-06
77                84.001203               2.781630e-05
78                84.320705               2.116119e-30
79                84.853785               6.240590e-06
80                85.876599               4.896260e-06
81                86.441450               6.054165e-06
82                87.870808               6.929742e-05
83                88.224736               2.466697e-05
84                90.499856               2.818916e-05
85                93.910201               1.698350e-31
86                96.776775               1.830859e-07
87                97.026062               2.664600e-06
88                98.403609               4.601322e-06
89               102.067023               1.491828e-07
90               102.422365               7.007339e-08
91               102.736393               2.161690e-07
92               103.211390               2.823001e-32
93               104.447304               5.543024e-31
94               105.367036               1.631571e-07
95               105.437533               1.666387e-08
96               106.946522               1.228176e-06
97               107.443592               5.709533e-07
98               109.272547               9.742512e-11
99               116.655158               5.694655e-10
100              117.240978               9.193817e-08
101              118.719929               2.406895e-29
102              120.269963               5.121436e-09
103              121.049845               4.038932e-08
104              125.451640               2.513091e-08
105              541.462641               4.560297e-02
106              543.889000               7.855946e-02
107              557.163347               1.783546e-05
108              557.347487               5.538826e-30
109              558.466093               3.798199e-04
110              559.224420               2.788247e-04
111              562.732840               6.289503e-04
112              566.088224               6.362512e-04
113              567.829454               2.420264e-28
114              568.513685               1.324507e-04
115              569.293836               4.149319e-03
116              569.883860               1.986206e-03
117              571.914021               1.678277e-03
118              572.280396               2.253582e-03
119              581.155584               1.836683e-03
120              581.647838               2.931102e-04
