     Excitation energy (eV)  Total oscillator strength
1                  3.755728               6.204484e-02
2                  4.940757               1.975395e-01
3                  4.940757               1.975395e-01
4                  6.443378               1.449112e-02
5                 16.339528               1.462073e-05
6                 18.207408               1.265748e-03
7                 18.207408               1.265748e-03
8                 18.787032               4.111401e-04
9                 18.808873               2.072235e-29
10                18.808873               1.770212e-29
11                19.608726               6.225896e-04
12                19.833764               3.057872e-04
13                19.833764               3.057872e-04
14                21.329462               4.602666e-04
15                60.148672               1.589596e-02
16                62.961999               3.975201e-03
17                62.961999               3.975201e-03
18                65.006089               7.137926e-03
19                66.849882               9.107331e-06
20                68.276826               6.381022e-07
21                68.276826               6.381022e-07
22                69.725425               4.701757e-06
23                69.725425               4.701757e-06
24                70.086098               3.072900e-05
25                70.833293               1.130137e-05
26                71.319308               1.375265e-31
27                71.948406               8.131815e-33
28                71.948406               2.214992e-32
29                72.590592               4.529796e-06
30                73.123982               7.992349e-06
31                73.123982               7.992349e-06
32                73.731898               7.224569e-06
33                73.731898               7.224569e-06
34                75.846150               4.032980e-05
35                83.560851               2.911326e-08
36                83.560851               2.911326e-08
37                84.980029               6.688107e-09
38                86.137398               9.124911e-33
39                86.137398               5.183878e-33
40                86.583682               3.551961e-08
41                87.012993               2.525223e-33
42                87.616545               2.773247e-08
43                87.616545               2.773247e-08
44                88.400935               6.766181e-10
45                88.400935               6.766181e-10
46                89.486474               1.469670e-11
47                89.486474               1.469670e-11
48                89.588696               1.641392e-07
49                90.816736               1.216085e-33
50                90.831811               7.018397e-32
51                90.831811               4.166785e-32
52                91.508793               4.115544e-08
53                92.821068               6.837095e-09
54                92.821068               6.837095e-09
55               156.725577               1.505865e-06
56               161.119586               4.769457e-05
57               161.119586               4.769457e-05
58               162.943787               6.710552e-05
59               165.069329               3.013434e-31
60               165.069329               5.724133e-33
61               165.645485               7.153317e-08
62               167.635049               2.637831e-07
63               167.635049               2.637831e-07
64               168.776025               2.942683e-07
65               168.776025               2.942683e-07
66               170.459195               1.788846e-07
67               170.823996               7.095867e-07
68               172.626645               5.063726e-32
69               172.626645               6.079772e-33
70               173.095367               6.680470e-09
71               173.547343               5.614895e-33
72               174.765622               4.548715e-08
73               174.765622               4.548715e-08
74               175.548020               1.183075e-06
75               175.548020               1.183075e-06
76               177.436440               1.068256e-06
77               177.578258               2.945196e-08
78               177.578258               2.945196e-08
79               179.653938               3.153461e-34
80               179.653938               3.601251e-31
81               179.675881               1.186585e-32
82               180.261378               5.943236e-08
83               182.362822               5.643335e-09
84               182.362822               5.643335e-09
85               189.789371               8.254800e-31
86               189.789371               7.766170e-31
87               190.112887               4.863279e-11
88               191.839061               9.121710e-10
89               191.839061               9.121710e-10
90               194.187604               3.299508e-09
91               194.882985               6.595355e-10
92               194.882985               6.595355e-10
93               196.426247               9.222021e-33
94               196.426247               3.591402e-32
95               196.907560               1.577085e-09
96               196.997194               1.906765e-30
97               199.359089               1.029567e-09
98               199.359089               1.029567e-09
99               199.385574               1.237228e-12
100              201.403928               2.640270e-11
101              201.403928               2.640270e-11
102              203.708478               8.691387e-31
103              203.708478               2.011585e-32
104              204.340781               8.694552e-11
