     Excitation energy (eV)  Total oscillator strength
1                  8.759951               2.361681e-02
2                 10.875317               3.423692e-28
3                 11.177058               9.824558e-02
4                 13.114137               1.312113e-01
5                 14.874332               3.178210e-01
6                 18.493555               1.317183e-01
7                 25.260829               1.282101e-03
8                 26.374957               1.167668e-29
9                 26.469045               6.336622e-04
10                28.743347               4.673620e-04
11                29.031141               4.590715e-30
12                30.115526               1.443751e-03
13                31.065127               1.090031e-03
14                31.106840               3.543108e-04
15                31.967245               2.305535e-03
16                32.127480               4.935331e-03
17                32.299907               2.624907e-29
18                32.775854               5.756245e-05
19                33.459121               1.360261e-03
20                33.654809               4.464458e-03
21                34.618112               3.877800e-04
22                34.802398               1.675480e-05
23                35.135773               1.336942e-03
24                35.587776               1.062596e-03
25                36.407384               1.906369e-30
26                37.614367               1.716043e-03
27                38.456209               2.296477e-04
28                40.768541               1.567263e-05
29                42.269198               5.365573e-05
30                45.737716               1.073693e-31
31                47.597324               3.388938e-10
32                50.894252               1.219721e-03
33                51.173737               5.753661e-06
34                52.443867               1.068156e-07
35                52.875761               2.843075e-04
36                53.336986               3.658200e-32
37                54.632129               6.734791e-06
38                54.839241               4.679722e-05
39                55.597307               2.469597e-05
40                56.418196               2.743241e-04
41                56.463312               7.583372e-08
42                56.845643               8.623706e-31
43                57.255648               1.202096e-05
44                57.751878               6.323734e-31
45                57.942497               5.462900e-05
46                58.067157               1.404858e-06
47                58.458400               3.998397e-04
48                58.676211               2.839717e-05
49                58.718906               8.164066e-30
50                59.295374               1.077966e-31
51                59.640224               2.634780e-06
52                59.921233               2.182553e-04
53                61.038512               3.897350e-06
54                61.713161               5.019595e-05
55                62.132451               2.050139e-04
56                63.229465               8.450909e-06
57                63.660727               8.137999e-05
58                71.925978               1.259048e-05
59                73.064625               5.205181e-06
60                73.708447               1.877104e-31
61                75.529614               2.478503e-05
62                75.886094               8.514512e-06
63                76.705508               8.384818e-07
64                77.253518               1.759716e-07
65                77.570156               3.816897e-07
66                78.346230               1.976884e-04
67                78.962087               2.654803e-32
68                79.565184               2.303537e-31
69                79.745155               1.817257e-06
70                80.054491               1.690887e-05
71                80.561056               3.039074e-06
72                81.718335               2.827325e-05
73                82.000724               1.833839e-05
74                83.018558               1.102368e-05
75                83.369063               2.030689e-06
76                85.076200               1.138007e-05
77                85.279178               1.227486e-31
78                86.489097               1.347115e-05
79                89.194349               6.702086e-10
80                90.615336               1.738588e-08
81                90.819743               5.857804e-33
82                92.399307               1.133103e-07
83                92.777013               6.830611e-08
84                94.780174               2.149039e-08
85                96.701669               1.598975e-32
86                97.916498               6.448314e-08
87               100.211360               1.334303e-06
88               100.247981               1.933169e-07
89               101.871838               4.519452e-06
90               103.797959               1.364136e-05
91               114.205244               1.575061e-11
92               114.309325               9.336974e-08
93               115.150465               4.725111e-31
94               115.791201               9.593395e-09
95               116.072888               1.055074e-30
96               118.284674               1.385462e-08
97               118.366001               2.242473e-07
98               119.165888               1.756490e-08
99               132.146466               2.175902e-09
100              132.314115               2.036911e-11
101              133.594376               3.645556e-31
102              134.115910               2.791476e-08
103              134.786807               1.309649e-08
104              138.830277               1.305298e-07
