     Excitation energy (eV)  Total oscillator strength
1                 11.638575               3.285649e-03
2                 14.317786               1.810570e-29
3                 15.317293               6.279632e-02
4                 18.266232               6.628811e-02
5                 22.004137               1.062672e+00
6                 26.050365               5.283040e-02
7                 28.065462               1.490265e-04
8                 28.558585               4.069717e-01
9                 28.928437               7.773470e-29
10                30.804908               4.674072e-05
11                33.059535               2.187334e-29
12                34.105740               2.119061e-02
13                35.625562               2.941972e-03
14                35.756629               2.299124e-02
15                36.563648               2.253416e-29
16                36.722620               5.109400e-05
17                37.868116               5.105183e-02
18                38.247087               5.152105e-05
19                38.564625               1.829412e-02
20                39.591899               1.051478e-03
21                40.965979               7.266124e-04
22                41.018766               1.644966e-03
23                41.105424               1.444908e-04
24                41.429109               1.455727e-30
25                42.299270               2.755671e-04
26                45.849418               1.350506e-03
27                46.523965               2.096605e-04
28                48.005035               3.460702e-04
29                49.785550               6.942467e-05
30                49.850496               3.029188e-29
31                50.715157               1.440160e-03
32                51.653980               1.344832e-28
33                51.749465               3.232188e-04
34                53.065449               9.655405e-05
35                54.016585               4.523380e-06
36                55.145940               5.509958e-04
37                55.391406               1.608200e-04
38                55.423129               1.599543e-04
39                56.898281               3.471362e-31
40                57.678644               7.801146e-06
41                57.779351               3.783674e-30
42                57.804045               7.736719e-06
43                58.370766               1.166804e-04
44                59.347383               1.045839e-30
45                59.771685               1.052667e-04
46                60.065135               1.970215e-05
47                60.885799               1.700243e-07
48                62.299948               2.650314e-04
49                62.792161               5.399851e-07
50                63.186370               1.329877e-30
51                63.425379               1.100021e-04
52                64.142127               1.909641e-03
53                65.074553               5.210601e-05
54                65.866489               2.673551e-04
55                67.846303               8.098292e-05
56                69.222055               1.012431e-04
57                69.640547               4.283491e-04
58                71.179618               1.042986e-04
59                72.960917               2.020117e-04
60                73.010227               6.421513e-29
61                73.655260               2.036729e-07
62                74.840251               2.555877e-05
63                76.001046               2.109957e-05
64                76.506930               2.588242e-07
65                76.523945               1.431339e-05
66                76.792870               1.249092e-31
67                78.710232               9.186024e-05
68                79.487958               5.251046e-31
69                79.517335               1.890616e-06
70                79.680288               1.977432e-06
71                80.797689               4.073327e-08
72                81.057446               6.384421e-05
73                81.138104               1.437771e-28
74                81.401006               1.572342e-06
75                82.205122               1.751920e-05
76                82.650086               2.887839e-06
77                84.012305               2.768557e-05
78                84.328322               1.102268e-30
79                84.859456               6.181910e-06
80                85.888349               4.814525e-06
81                86.450112               6.102337e-06
82                87.881684               6.995388e-05
83                88.233291               2.452827e-05
84                90.506629               2.844476e-05
85                93.916751               1.605793e-31
86                96.785986               1.968078e-07
87                97.035806               2.718504e-06
88                98.411971               4.594221e-06
89               102.072555               1.507936e-07
90               102.425231               6.572384e-08
91               102.742886               2.206346e-07
92               103.213589               2.675385e-32
93               104.452619               7.778618e-33
94               105.375643               1.478865e-07
95               105.449059               1.596783e-08
96               106.952473               1.222239e-06
97               107.455432               5.581057e-07
98               109.277888               1.315288e-11
99               116.658594               5.140109e-10
100              117.246605               9.220696e-08
101              118.723355               3.266172e-32
102              120.278369               5.688559e-09
103              121.057660               4.046170e-08
104              125.458867               2.551780e-08
